school_id,school_name,district,block,total_enrolled_students,school_type,medium,school_id_clean
SCH0321,Govt. Primary School Nayak,Jalandhar,Nakodar,104,Secondary,Punjabi,SCH0321
SCH0256,Govt. Middle School Chaudhry,Jalandhar,Jalandhar-I,89,Upper Primary,English,SCH0256
SCH0328,Govt. Senior Secondary School Sarraf,Sangrur,Sangrur,228,Secondary,hindi,SCH0328
SCH0592,Govt. Primary School Ray,Ludhiana,,56,Secondary,punjabi,SCH0592
SCH0191,Govt. Senior Secondary School Bera,Amritsar,Amritsar-II,195,Secondary,hindi,SCH0191
SCH0342,Govt. Senior Secondary School Kashyap,Sangrur,Sangrur,235,Upper Primary,punjabi,SCH0342
SCH0544,Govt. Senior Secondary School Khalsa,Ferozepur,Zira,138,Upper Primary,hindi,SCH0544
SCH0292,Govt. Middle School Deo,Sangrur,Sunam,82,Upper Primary,English,SCH0292
SCH0095,Govt. Primary School Kanda,Patiala,Nabha,199,higher secondary,Punjabi,SCH0095
SCH0181,Govt. Primary School Lala,Ludhiana,Ludhiana-II,351,higher secondary,English,SCH0181
SCH0396,Govt. Senior Secondary School Deshmukh,Moga,Moga-I,42,Upper Primary,Hindi,SCH0396
SCH0355,Govt. Primary School Tripathi,,Jalandhar-II,413,Higher Secondary,English,SCH0355
SCH0551,Govt. Middle School Tara,Moga,,110,Upper Primary,punjabi,SCH0551
SCH0335,Govt. Primary School Kota,Amritsar,Amritsar-II,94,Higher Secondary,Hindi,SCH0335
SCH0006,Govt. Primary School Bahri,moga,Moga-II,400,Upper Primary,Punjabi,SCH0006
SCH0046,Govt. Elementary School Mody,Moga,Bagha Purana,379,Secondary,English,SCH0046
SCH0575,Govt. Middle School Nair,Ludhiana,Doraha,251,Secondary,Hindi,SCH0575
SCH0417,Govt. Elementary School Ahuja,Amritsar,Tarn Taran,378,Higher Secondary,hindi,SCH0417
SCH0526,Govt. Elementary School Raman,Ludhiana,,81,upper primary,punjabi,SCH0526
SCH0017,Govt. Elementary School Pandit,Amritsar,Tarn Taran,75,upper primary,Hindi,SCH0017
SCH0049,Govt. Middle School Purohit,Patiala,Rajpura,446,Upper Primary,hindi,SCH0049
SCH0598,Govt. Primary School Warrior,Bathinda,Maur,40,Higher Secondary,Hindi,SCH0598
SCH0564,Govt. Primary School Nair,Bathinda,Talwandi Sabo,358,Upper Primary,hindi,SCH0564
SCH0004,Govt. Elementary School Kaur,Bathinda,,150,secondary,English,SCH0004
SCH0350,Govt. Primary School Mann,Jalandhar,,292,Upper Primary,hindi,SCH0350
SCH0556,Govt. Middle School Dar,Amritsar,,261,higher secondary,hindi,SCH0556
SCH0470,Govt. Elementary School Handa,Jalandhar,Nakodar,348,Primary,Punjabi,SCH0470
SCH0389,Govt. Primary School Borra,Ludhiana,Machhiwara,191,Higher Secondary,hindi,SCH0389
SCH0465,Govt. Senior Secondary School Banerjee,patiala,Rajpura,158,Secondary,English,SCH0465
SCH0395,Govt. Elementary School Bose,Sangrur,Sunam,201,Upper Primary,Hindi,SCH0395
SCH0226,Govt. Primary School Upadhyay,Ludhiana,Doraha,374,upper primary,Hindi,SCH0226
SCH0027,Govt. Primary School Lal,Sangrur,Sunam,137,Primary,Punjabi,SCH0027
SCH0584,Govt. Senior Secondary School Sahota,Jalandhar,Phillaur,370,Primary,English,SCH0584
SCH0264,Govt. Elementary School Ghosh,Ludhiana,Doraha,441,Higher Secondary,hindi,SCH0264
SCH0051,Govt. Senior Secondary School Sarkar,Patiala,Rajpura,352,Primary,punjabi,SCH0051
SCH0230,Govt. Senior Secondary School Badal,Patiala,Nabha,124,higher secondary,punjabi,SCH0230
SCH0038,Govt. Senior Secondary School Mandal,Ferozepur,Zira,61,Primary,Punjabi,SCH0038
SCH0158,Govt. Middle School Tella,Moga,Nihal Singh Wala,138,Upper Primary,Punjabi,SCH0158
SCH0238,Govt. Primary School Amble,Patiala,Nabha,74,Primary,Punjabi,SCH0238
SCH0593,Govt. Middle School Iyer,Jalandhar,Jalandhar-II,384,Upper Primary,Punjabi,SCH0593
SCH0176,Govt. Elementary School Barad,Moga,Bagha Purana,103,Higher Secondary,punjabi,SCH0176
SCH0520,Govt. Primary School Banerjee,Sangrur,Malerkotla,44,Secondary,Hindi,SCH0520
SCH0437,Govt. Senior Secondary School Loyal,Patiala,Rajpura,155,Secondary,Hindi,SCH0437
SCH0195,Govt. Elementary School Dhillon,Sangrur,Malerkotla,368,Higher Secondary,Punjabi,SCH0195
SCH0522,Govt. Primary School Lalla,Patiala,Samana,185,Secondary,English,SCH0522
SCH0384,Govt. Senior Secondary School Parekh,Ferozepur,Ferozepur,439,Primary,hindi,SCH0384
SCH0597,Govt. Senior Secondary School Zacharia,Moga,Moga-II,354,Higher Secondary,Hindi,SCH0597
SCH0528,Govt. Senior Secondary School Sunder,Patiala,Patiala,141,Primary,English,SCH0528
SCH0068,Govt. Primary School Mangat,Amritsar,Ajnala,390,Primary,punjabi,SCH0068
SCH0415,Govt. Elementary School Mandal,Ludhiana,,287,Primary,English,SCH0415
SCH0169,Govt. Elementary School Walia,,,102,Higher Secondary,punjabi,SCH0169
SCH0501,Govt. Primary School Devi,Ludhiana,Doraha,241,Upper Primary,punjabi,SCH0501
SCH0163,Govt. Primary School Ratta,Jalandhar,Nakodar,66,Secondary,hindi,SCH0163
SCH0310,Govt. Elementary School Nair,Sangrur,Malerkotla,409,Upper Primary,Punjabi,SCH0310
SCH0194,Govt. Elementary School Suresh,Amritsar,Amritsar-I,368,Secondary,Punjabi,SCH0194
SCH0153,Govt. Senior Secondary School Vohra,Amritsar,Amritsar-II,60,Higher Secondary,English,SCH0153
SCH0351,Govt. Senior Secondary School Morar,Patiala,Patiala,309,Secondary,English,SCH0351
SCH0361,Govt. Elementary School Bumb,Amritsar,Amritsar-I,213,Higher Secondary,Hindi,SCH0361
SCH0227,Govt. Senior Secondary School Samra,Ferozepur,Makhu,393,Secondary,Hindi,SCH0227
SCH0357,Govt. Middle School Bhatti,Moga,Nihal Singh Wala,45,Upper Primary,Punjabi,SCH0357
SCH0104,Govt. Primary School Chacko,Amritsar,Amritsar-II,363,Secondary,Punjabi,SCH0104
SCH0420,Govt. Elementary School Nair,Amritsar,Tarn Taran,267,higher secondary,Punjabi,SCH0420
SCH0075,Govt. Middle School Mody,Ferozepur,Zira,196,Secondary,hindi,SCH0075
SCH0452,Govt. Senior Secondary School Jaggi,Patiala,Nabha,422,Secondary,English,SCH0452
SCH0596,Govt. Middle School Tank,Amritsar,Tarn Taran,410,Secondary,hindi,SCH0596
SCH0120,Govt. Middle School Sharaf,Patiala,Rajpura,267,secondary,English,SCH0120
SCH0416,Govt. Middle School Batra,Moga,Moga-I,400,Upper Primary,hindi,SCH0416
SCH0439,Govt. Middle School Sankar,Ferozepur,,259,secondary,punjabi,SCH0439
SCH0581,Govt. Elementary School Srivastava,Moga,Nihal Singh Wala,353,Primary,Punjabi,SCH0581
SCH0208,Govt. Elementary School Rattan,Bathinda,Bathinda,345,Upper Primary,hindi,SCH0208
SCH0358,Govt. Elementary School Panchal,Ludhiana,Ludhiana-I,237,Higher Secondary,punjabi,SCH0358
SCH0527,Govt. Senior Secondary School Bath,Jalandhar,Jalandhar-II,168,primary,punjabi,SCH0527
SCH0366,Govt. Primary School Hari,Ferozepur,Zira,229,Secondary,punjabi,SCH0366
SCH0434,Govt. Primary School Bandi,Jalandhar,Jalandhar-I,393,Upper Primary,punjabi,SCH0434
SCH0009,Govt. Middle School Bakshi,Patiala,Samana,433,Upper Primary,Punjabi,SCH0009
SCH0405,Govt. Primary School Agarwal,Bathinda,Maur,254,Primary,Punjabi,SCH0405
SCH0037,Govt. Middle School More,Ludhiana,Ludhiana-I,78,Upper Primary,Hindi,SCH0037
SCH0140,Govt. Middle School Garg,Bathinda,Maur,426,Secondary,hindi,SCH0140
SCH0254,Govt. Primary School Kapadia,Sangrur,,70,Higher Secondary,hindi,SCH0254
SCH0304,Govt. Senior Secondary School Dubey,Sangrur,Dhuri,40,Higher Secondary,English,SCH0304
SCH0529,Govt. Middle School Ganguly,Moga,Moga-II,362,Primary,Punjabi,SCH0529
SCH0060,Govt. Elementary School Srinivas,Ferozepur,Makhu,382,Higher Secondary,hindi,SCH0060
SCH0112,Govt. Senior Secondary School Bhagat,Amritsar,,198,Primary,English,SCH0112
SCH0502,Govt. Middle School Yogi,Moga,Moga-I,46,Higher Secondary,English,SCH0502
SCH0559,Govt. Elementary School Bera,Ferozepur,Makhu,390,primary,English,SCH0559
SCH0381,Govt. Elementary School Varma,,Ferozepur,388,Secondary,punjabi,SCH0381
SCH0263,Govt. Elementary School Oak,Ludhiana,Ludhiana-I,263,Primary,English,SCH0263
SCH0516,Govt. Middle School Misra,Bathinda,Talwandi Sabo,360,upper primary,English,SCH0516
SCH0298,Govt. Senior Secondary School Sibal,Amritsar,Amritsar-II,424,Primary,Hindi,SCH0298
SCH0151,Govt. Primary School Dugar,Amritsar,Amritsar-I,354,Higher Secondary,hindi,SCH0151
SCH0267,Govt. Elementary School Basak,Amritsar,Amritsar-II,84,Higher Secondary,Punjabi,SCH0267
SCH0535,Govt. Elementary School Viswanathan,Sangrur,Sunam,330,Secondary,hindi,SCH0535
SCH0360,Govt. Senior Secondary School Bhat,Bathinda,Bathinda,203,primary,Hindi,SCH0360
SCH0547,Govt. Middle School Lad,Moga,Bagha Purana,251,Higher Secondary,hindi,SCH0547
SCH0039,Govt. Senior Secondary School Baral,Moga,Nihal Singh Wala,357,Upper Primary,Punjabi,SCH0039
SCH0515,Govt. Elementary School Rattan,Amritsar,Amritsar-I,174,Primary,Hindi,SCH0515
SCH0308,Govt. Middle School Butala,amritsar,Amritsar-II,236,primary,Hindi,SCH0308
SCH0199,Govt. Elementary School Nath,Moga,Bagha Purana,137,Higher Secondary,English,SCH0199
SCH0498,Govt. Elementary School Pillay,Moga,Moga-II,438,Primary,hindi,SCH0498
SCH0382,Govt. Primary School Lanka,Moga,Bagha Purana,123,Secondary,punjabi,SCH0382
SCH0147,Govt. Senior Secondary School Das,Moga,Bagha Purana,412,Upper Primary,Hindi,SCH0147
SCH0504,Govt. Senior Secondary School Barad,Moga,Bagha Purana,245,Upper Primary,English,SCH0504
SCH0549,Govt. Middle School Krishnamurthy,Ludhiana,,185,Upper Primary,Hindi,SCH0549
SCH0148,Govt. Elementary School Sastry,Jalandhar,Jalandhar-I,130,Higher Secondary,hindi,SCH0148
SCH0450,Govt. Primary School Kurian,Amritsar,Amritsar-I,398,Secondary,English,SCH0450
SCH0349,Govt. Primary School Jaggi,Jalandhar,Jalandhar-II,343,Secondary,English,SCH0349
SCH0326,Govt. Primary School Balasubramanian,Ferozepur,Makhu,178,secondary,hindi,SCH0326
SCH0421,Govt. Primary School Behl,Sangrur,Sangrur,92,Primary,hindi,SCH0421
SCH0124,Govt. Middle School Goda,Jalandhar,Nakodar,448,primary,Hindi,SCH0124
SCH0537,Govt. Senior Secondary School Jayaraman,Ferozepur,Zira,49,Secondary,Punjabi,SCH0537
SCH0097,Govt. Middle School Prakash,Sangrur,Sunam,236,Upper Primary,punjabi,SCH0097
SCH0144,Govt. Primary School Bakshi,Ferozepur,Mamdot,403,secondary,Hindi,SCH0144
SCH0240,Govt. Senior Secondary School Mitter,Moga,Bagha Purana,161,Upper Primary,English,SCH0240
SCH0404,Govt. Primary School Keer,Amritsar,Ajnala,282,Upper Primary,Punjabi,SCH0404
SCH0098,Govt. Elementary School Soman,Moga,Bagha Purana,41,Secondary,punjabi,SCH0098
SCH0372,Govt. Senior Secondary School Mody,Sangrur,Sangrur,442,higher secondary,hindi,SCH0372
SCH0325,Govt. Elementary School Babu,Moga,Nihal Singh Wala,116,Primary,Hindi,SCH0325
SCH0280,Govt. Elementary School Modi,Sangrur,Sunam,216,higher secondary,Punjabi,SCH0280
SCH0294,Govt. Primary School Arora,Moga,Moga-I,429,Upper Primary,Hindi,SCH0294
SCH0588,Govt. Senior Secondary School Sahota,Jalandhar,Jalandhar-I,254,Higher Secondary,Hindi,SCH0588
SCH0123,Govt. Primary School Cheema,Patiala,Nabha,159,Upper Primary,Hindi,SCH0123
SCH0184,Govt. Senior Secondary School Hora,Sangrur,Dhuri,327,Secondary,English,SCH0184
SCH0203,Govt. Middle School Grewal,Patiala,Samana,323,Higher Secondary,hindi,SCH0203
SCH0324,Govt. Primary School Sundaram,Amritsar,Amritsar-II,419,Primary,punjabi,SCH0324
SCH0247,Govt. Senior Secondary School Barad,Amritsar,Tarn Taran,164,Upper Primary,English,SCH0247
SCH0448,Govt. Senior Secondary School Sandal,Ludhiana,Ludhiana-II,446,Primary,punjabi,SCH0448
SCH0031,Govt. Primary School Mohanty,Sangrur,,424,Primary,Hindi,SCH0031
SCH0513,Govt. Primary School Sachdeva,Ludhiana,Ludhiana-II,412,Secondary,punjabi,SCH0513
SCH0440,Govt. Middle School Devan,Jalandhar,Jalandhar-I,118,Primary,hindi,SCH0440
SCH0546,Govt. Elementary School Prabhakar,Jalandhar,Phillaur,298,Upper Primary,English,SCH0546
SCH0418,Govt. Senior Secondary School Comar,Ludhiana,,369,Higher Secondary,punjabi,SCH0418
SCH0126,Govt. Primary School Pillay,Sangrur,Malerkotla,302,Higher Secondary,hindi,SCH0126
SCH0403,Govt. Primary School Garde,Ludhiana,Ludhiana-I,378,primary,punjabi,SCH0403
SCH0457,Govt. Elementary School Varty,amritsar,Ajnala,357,Upper Primary,English,SCH0457
SCH0443,Govt. Senior Secondary School Chakrabarti,Sangrur,Sangrur,98,Higher Secondary,English,SCH0443
SCH0224,Govt. Senior Secondary School Kunda,Ferozepur,Makhu,84,Primary,Hindi,SCH0224
SCH0343,Govt. Elementary School Bassi,Jalandhar,Jalandhar-I,354,Upper Primary,hindi,SCH0343
SCH0054,Govt. Elementary School Bajwa,Moga,Nihal Singh Wala,353,Higher Secondary,punjabi,SCH0054
SCH0220,Govt. Elementary School Mishra,Jalandhar,Phillaur,130,Primary,Hindi,SCH0220
SCH0130,Govt. Elementary School Mall,Patiala,Rajpura,271,Higher Secondary,Punjabi,SCH0130
SCH0560,Govt. Senior Secondary School Rajagopalan,Patiala,Samana,216,Primary,hindi,SCH0560
SCH0423,Govt. Senior Secondary School Master,Moga,,406,higher secondary,English,SCH0423
SCH0480,Govt. Primary School Brar,,Makhu,136,Primary,punjabi,SCH0480
SCH0562,Govt. Middle School Andra,Amritsar,,164,Upper Primary,Punjabi,SCH0562
SCH0425,Govt. Senior Secondary School Wason,Patiala,Nabha,101,Higher Secondary,Punjabi,SCH0425
SCH0101,Govt. Elementary School Saxena,Sangrur,,104,Secondary,punjabi,SCH0101
SCH0432,Govt. Elementary School Sura,Sangrur,Dhuri,385,Secondary,hindi,SCH0432
SCH0387,Govt. Middle School Varty,Moga,Bagha Purana,192,higher secondary,English,SCH0387
SCH0599,Govt. Senior Secondary School Vala,Ferozepur,Mamdot,63,upper primary,English,SCH0599
SCH0295,Govt. Primary School Sule,Bathinda,Bathinda,270,Primary,Hindi,SCH0295
SCH0268,Govt. Primary School Amble,Moga,Moga-I,345,Secondary,punjabi,SCH0268
SCH0495,Govt. Elementary School Sandal,Moga,Moga-I,398,Upper Primary,English,SCH0495
SCH0445,Govt. Primary School Wason,Sangrur,Dhuri,62,Upper Primary,Hindi,SCH0445
SCH0113,Govt. Middle School Subramaniam,Moga,Nihal Singh Wala,129,Secondary,English,SCH0113
SCH0180,Govt. Elementary School Sha,Moga,Nihal Singh Wala,180,primary,Hindi,SCH0180
SCH0451,Govt. Primary School Dasgupta,Amritsar,Ajnala,431,Higher Secondary,hindi,SCH0451
SCH0494,Govt. Senior Secondary School Kurian,Amritsar,Tarn Taran,364,Upper Primary,punjabi,SCH0494
SCH0482,Govt. Elementary School Sibal,Ferozepur,Makhu,353,Higher Secondary,hindi,SCH0482
SCH0374,Govt. Elementary School Yohannan,Ferozepur,Mamdot,332,Primary,hindi,SCH0374
SCH0315,Govt. Primary School Chakraborty,Ferozepur,,319,Higher Secondary,Punjabi,SCH0315
SCH0152,Govt. Elementary School Dass,Patiala,Samana,349,Upper Primary,English,SCH0152
SCH0172,Govt. Primary School Konda,Ludhiana,Machhiwara,231,Primary,Punjabi,SCH0172
SCH0234,Govt. Senior Secondary School Tak,Moga,Nihal Singh Wala,269,Higher Secondary,English,SCH0234
SCH0307,Govt. Elementary School Wali,,Rajpura,44,Secondary,punjabi,SCH0307
SCH0458,Govt. Senior Secondary School Murty,Jalandhar,Nakodar,201,upper primary,punjabi,SCH0458
SCH0165,Govt. Middle School Mallick,Patiala,Rajpura,218,higher secondary,Punjabi,SCH0165
SCH0318,Govt. Elementary School Rout,Jalandhar,Nakodar,240,Primary,Hindi,SCH0318
SCH0137,Govt. Senior Secondary School Dani,Ferozepur,Ferozepur,112,primary,punjabi,SCH0137
SCH0411,Govt. Elementary School Narayanan,Ludhiana,Ludhiana-II,379,Secondary,English,SCH0411
SCH0198,Govt. Elementary School Sachar,patiala,Nabha,89,Higher Secondary,Hindi,SCH0198
SCH0571,Govt. Elementary School Gaba,Patiala,Nabha,214,upper primary,hindi,SCH0571
SCH0259,Govt. Primary School Munshi,Sangrur,Dhuri,370,Primary,hindi,SCH0259
SCH0233,Govt. Senior Secondary School Mutti,,Ludhiana-I,281,Higher Secondary,punjabi,SCH0233
SCH0116,Govt. Middle School Gandhi,Ferozepur,Makhu,95,higher secondary,Hindi,SCH0116
SCH0121,Govt. Elementary School Deshmukh,Ludhiana,,181,Primary,Hindi,SCH0121
SCH0464,Govt. Elementary School Khalsa,Jalandhar,Jalandhar-II,268,Upper Primary,Punjabi,SCH0464
SCH0508,Govt. Senior Secondary School Kara,Bathinda,Rampura Phul,50,Secondary,hindi,SCH0508
SCH0377,Govt. Middle School Gandhi,Patiala,Nabha,193,Higher Secondary,punjabi,SCH0377
SCH0385,Govt. Middle School Mane,Ludhiana,Ludhiana-II,169,Secondary,punjabi,SCH0385
SCH0225,Govt. Middle School Chaudhry,Ludhiana,Doraha,236,Secondary,hindi,SCH0225
SCH0586,Govt. Elementary School Tailor,Amritsar,Amritsar-I,98,secondary,hindi,SCH0586
SCH0489,Govt. Elementary School Pant,Jalandhar,Jalandhar-I,181,Secondary,hindi,SCH0489
SCH0348,Govt. Elementary School Sarraf,Bathinda,Bathinda,431,Upper Primary,Hindi,SCH0348
SCH0128,Govt. Primary School Walla,Sangrur,Dhuri,77,Secondary,hindi,SCH0128
SCH0079,Govt. Primary School Dash,Bathinda,Maur,366,higher secondary,punjabi,SCH0079
SCH0446,Govt. Elementary School Kala,Ludhiana,Ludhiana-I,147,Upper Primary,Hindi,SCH0446
SCH0286,Govt. Elementary School Badal,Jalandhar,Nakodar,206,Primary,English,SCH0286
SCH0570,Govt. Primary School Padmanabhan,Patiala,Samana,71,Higher Secondary,English,SCH0570
SCH0044,Govt. Primary School Rajagopalan,Ferozepur,Makhu,413,Higher Secondary,hindi,SCH0044
SCH0108,Govt. Middle School Warrior,Sangrur,Malerkotla,386,Primary,English,SCH0108
SCH0523,Govt. Primary School Hora,Amritsar,Tarn Taran,356,Higher Secondary,hindi,SCH0523
SCH0557,Govt. Senior Secondary School Raghavan,ludhiana,Machhiwara,174,Higher Secondary,punjabi,SCH0557
SCH0134,Govt. Elementary School Suri,Bathinda,Rampura Phul,93,Upper Primary,Punjabi,SCH0134
SCH0441,Govt. Primary School Gara,Moga,Moga-I,441,Upper Primary,Hindi,SCH0441
SCH0062,Govt. Middle School Pradhan,Jalandhar,Jalandhar-I,173,Upper Primary,punjabi,SCH0062
SCH0045,Govt. Senior Secondary School Divan,Patiala,Samana,62,Primary,Punjabi,SCH0045
SCH0170,Govt. Middle School Mallick,Ludhiana,Ludhiana-II,407,higher secondary,punjabi,SCH0170
SCH0066,Govt. Senior Secondary School Devan,Moga,Moga-II,350,Primary,Punjabi,SCH0066
SCH0284,Govt. Senior Secondary School Prakash,Patiala,Rajpura,362,Higher Secondary,punjabi,SCH0284
SCH0086,Govt. Middle School Tata,Bathinda,Maur,257,Upper Primary,Punjabi,SCH0086
SCH0243,Govt. Senior Secondary School Deep,Bathinda,Maur,277,Higher Secondary,English,SCH0243
SCH0187,Govt. Primary School Chaudhari,Patiala,Patiala,142,Upper Primary,hindi,SCH0187
SCH0327,Govt. Middle School Muni,Ludhiana,Machhiwara,75,Secondary,hindi,SCH0327
SCH0160,Govt. Middle School Munshi,Jalandhar,Phillaur,62,Upper Primary,punjabi,SCH0160
SCH0013,Govt. Middle School Contractor,Bathinda,Bathinda,388,Secondary,punjabi,SCH0013
SCH0036,Govt. Elementary School Solanki,Ludhiana,Doraha,434,Secondary,punjabi,SCH0036
SCH0029,Govt. Primary School Lad,Amritsar,Amritsar-II,246,Upper Primary,punjabi,SCH0029
SCH0171,Govt. Primary School Dasgupta,Jalandhar,Jalandhar-I,308,Primary,punjabi,SCH0171
SCH0143,Govt. Elementary School Venkataraman,Patiala,Samana,76,Primary,English,SCH0143
SCH0237,Govt. Elementary School Sood,Jalandhar,Nakodar,136,primary,Punjabi,SCH0237
SCH0497,Govt. Senior Secondary School Wali,Sangrur,Sunam,160,Secondary,hindi,SCH0497
SCH0517,Govt. Senior Secondary School Mangat,Sangrur,Dhuri,316,higher secondary,punjabi,SCH0517
SCH0580,Govt. Primary School Apte,Sangrur,Malerkotla,274,Higher Secondary,punjabi,SCH0580
SCH0222,Govt. Middle School Edwin,Sangrur,Sunam,298,Upper Primary,punjabi,SCH0222
SCH0591,Govt. Senior Secondary School Anand,Ludhiana,,320,upper primary,English,SCH0591
SCH0096,Govt. Elementary School Walia,Jalandhar,Phillaur,406,Secondary,Hindi,SCH0096
SCH0052,Govt. Primary School Kannan,Sangrur,Dhuri,164,Primary,Hindi,SCH0052
SCH0241,Govt. Middle School Dass,Ludhiana,Ludhiana-II,360,higher secondary,punjabi,SCH0241
SCH0525,Govt. Elementary School Karpe,Ludhiana,Machhiwara,151,Secondary,punjabi,SCH0525
SCH0352,Govt. Middle School Jayaraman,,Nakodar,70,Upper Primary,English,SCH0352
SCH0533,Govt. Elementary School Tailor,Amritsar,Amritsar-II,289,Secondary,Punjabi,SCH0533
SCH0179,Govt. Elementary School Raman,Bathinda,Rampura Phul,268,Higher Secondary,Punjabi,SCH0179
SCH0461,Govt. Primary School Ramachandran,bathinda,Bathinda,412,Primary,hindi,SCH0461
SCH0543,Govt. Primary School Dey,ludhiana,Ludhiana-I,195,Upper Primary,Hindi,SCH0543
SCH0042,Govt. Elementary School Bhatnagar,Ferozepur,Makhu,182,Secondary,hindi,SCH0042
SCH0572,Govt. Middle School Dey,Patiala,Rajpura,163,Higher Secondary,Hindi,SCH0572
SCH0539,Govt. Senior Secondary School Kalita,Amritsar,Amritsar-I,307,Primary,Punjabi,SCH0539
SCH0207,Govt. Primary School Kaul,Sangrur,Malerkotla,283,Secondary,hindi,SCH0207
SCH0393,Govt. Senior Secondary School Bava,Bathinda,Talwandi Sabo,100,Primary,punjabi,SCH0393
SCH0283,Govt. Middle School Reddy,Amritsar,Amritsar-II,419,Upper Primary,punjabi,SCH0283
SCH0359,Govt. Primary School Bhavsar,Moga,Nihal Singh Wala,91,Upper Primary,Punjabi,SCH0359
SCH0398,Govt. Primary School Narasimhan,Patiala,Samana,47,upper primary,Hindi,SCH0398
SCH0255,Govt. Middle School Barman,Ferozepur,,48,Secondary,punjabi,SCH0255
SCH0518,Govt. Elementary School Sibal,Ferozepur,Makhu,217,Upper Primary,punjabi,SCH0518
SCH0218,Govt. Senior Secondary School Dugar,Ludhiana,Ludhiana-II,248,Higher Secondary,English,SCH0218
SCH0005,Govt. Elementary School Bajwa,Bathinda,,413,Primary,English,SCH0005
SCH0550,Govt. Senior Secondary School Mittal,Patiala,,51,Secondary,punjabi,SCH0550
SCH0099,Govt. Middle School Korpal,Sangrur,Malerkotla,210,Higher Secondary,Hindi,SCH0099
SCH0407,Govt. Elementary School Mitter,Bathinda,Maur,60,Upper Primary,Punjabi,SCH0407
SCH0503,Govt. Elementary School Lala,Jalandhar,Nakodar,161,Secondary,punjabi,SCH0503
SCH0048,Govt. Middle School Chana,Ferozepur,Ferozepur,195,Higher Secondary,punjabi,SCH0048
SCH0033,Govt. Primary School Shroff,Bathinda,Bathinda,381,Secondary,Hindi,SCH0033
SCH0201,Govt. Primary School Sagar,Ludhiana,Doraha,293,Higher Secondary,punjabi,SCH0201
SCH0135,Govt. Primary School Raghavan,Moga,Bagha Purana,98,Upper Primary,English,SCH0135
SCH0028,Govt. Primary School Sengupta,Ludhiana,Machhiwara,297,upper primary,Punjabi,SCH0028
SCH0541,Govt. Senior Secondary School Badami,Bathinda,Bathinda,227,primary,Punjabi,SCH0541
SCH0231,Govt. Primary School Datta,Amritsar,Tarn Taran,68,Higher Secondary,English,SCH0231
SCH0490,Govt. Middle School Dutta,Ludhiana,Ludhiana-I,86,Secondary,Hindi,SCH0490
SCH0379,Govt. Primary School Balay,Jalandhar,Jalandhar-I,199,higher secondary,Hindi,SCH0379
SCH0289,Govt. Elementary School Mohanty,Ferozepur,Mamdot,345,Higher Secondary,Hindi,SCH0289
SCH0419,Govt. Elementary School Sarkar,Moga,Moga-II,209,Primary,Hindi,SCH0419
SCH0392,Govt. Middle School Kara,Amritsar,Amritsar-II,221,Secondary,hindi,SCH0392
SCH0499,Govt. Middle School Oak,Ludhiana,Machhiwara,230,Higher Secondary,hindi,SCH0499
SCH0139,Govt. Elementary School Lata,jalandhar,Jalandhar-I,385,Higher Secondary,punjabi,SCH0139
SCH0063,Govt. Primary School Singhal,Bathinda,Talwandi Sabo,169,higher secondary,English,SCH0063
SCH0472,Govt. Senior Secondary School Nazareth,Jalandhar,,108,Primary,English,SCH0472
SCH0129,Govt. Elementary School Malhotra,Moga,,345,Higher Secondary,Punjabi,SCH0129
SCH0420,Govt. Elementary School Nair,Amritsar,Tarn Taran,267,higher secondary,Punjabi,SCH0420
SCH0521,Govt. Senior Secondary School Sharaf,Ferozepur,Mamdot,242,Higher Secondary,punjabi,SCH0521
SCH0065,Govt. Senior Secondary School Palla,Jalandhar,Jalandhar-II,104,Primary,English,SCH0065
SCH0015,Govt. Primary School Brahmbhatt,Bathinda,Maur,118,Upper Primary,punjabi,SCH0015
SCH0157,Govt. Middle School Keer,Jalandhar,Jalandhar-I,370,secondary,Hindi,SCH0157
SCH0041,Govt. Senior Secondary School Kuruvilla,Sangrur,Sunam,142,Higher Secondary,Hindi,SCH0041
SCH0493,Govt. Primary School Bhattacharyya,Sangrur,Sunam,427,Higher Secondary,English,SCH0493
SCH0380,Govt. Middle School Minhas,Ludhiana,Ludhiana-II,56,Secondary,punjabi,SCH0380
SCH0188,Govt. Elementary School Vig,Moga,Nihal Singh Wala,322,primary,punjabi,SCH0188
SCH0217,Govt. Primary School Apte,Patiala,Nabha,66,Secondary,Hindi,SCH0217
SCH0053,Govt. Elementary School Tailor,Jalandhar,Phillaur,65,Primary,hindi,SCH0053
SCH0338,Govt. Senior Secondary School Wali,Bathinda,,55,Higher Secondary,Punjabi,SCH0338
SCH0296,Govt. Senior Secondary School Dash,Patiala,Samana,403,Higher Secondary,Hindi,SCH0296
SCH0252,Govt. Primary School Krish,Sangrur,Sunam,317,Primary,Punjabi,SCH0252
SCH0462,Govt. Senior Secondary School Gulati,Ferozepur,Zira,58,Higher Secondary,Hindi,SCH0462
SCH0456,Govt. Middle School Bhatnagar,bathinda,Bathinda,168,Higher Secondary,Hindi,SCH0456
SCH0235,Govt. Senior Secondary School Balan,Amritsar,Amritsar-II,315,Upper Primary,Punjabi,SCH0235
SCH0270,Govt. Primary School Nadkarni,Jalandhar,Jalandhar-I,125,Higher Secondary,Hindi,SCH0270
SCH0202,Govt. Elementary School Karpe,Jalandhar,,412,Higher Secondary,hindi,SCH0202
